title,description,genre,year,image_url
Nomadland,"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=1
Parasite,Una familia pobre en Corea se infiltra en la vida de una familia rica.,Thriller/Drama,2019,https://picsum.photos/300/200?random=2
Oppenheimer,Biografía del físico J. Robert Oppenheimer y la creación de la bomba atómica.,Biografía/Historia,2023,https://picsum.photos/300/200?random=3
The Shape of Water,Romance entre una mujer muda y una criatura anfibia en plena Guerra Fría.,Fantasía/Romance,2017,https://picsum.photos/300/200?random=4
La La Land,Historia de amor entre un músico de jazz y una aspirante a actriz en Los Ángeles.,Musical/Romance,2016,https://picsum.photos/300/200?random=5
All About Eve,Actriz ambiciosa se infiltra en el mundo teatral para arrebatar protagonismo.,Drama,1950,https://picsum.photos/300/200?random=6
Forrest Gump,Historia de un hombre con discapacidad intelectual que influye distintos momentos históricos de EE.UU.,Drama/Comedia,1994,https://picsum.photos/300/200?random=7
Titanic,Romance trágico durante el hundimiento del famoso barco.,Drama/Romance,1997,https://picsum.photos/300/200?random=8
Moonlight,"Trayectoria de un joven afroamericano gay, desde la infancia hasta la adultez.",Biografía/Drama,2016,https://picsum.photos/300/200?random=9
12 Years a Slave,Un hombre libre es secuestrado y vendido como esclavo.,Histórica/Drama,2013,https://picsum.photos/300/200?random=10
Everything Everywhere All at Once,Una madre asiática se conecta con versiones alternas de sí misma para salvar el multiverso.,Comedia/Acción,2022,https://picsum.photos/300/200?random=11
CODA,Una joven es la única oyente en una familia de sordos y enfrenta dilemas entre música y responsabilidad familiar.,Drama/Comedia,2021,https://picsum.photos/300/200?random=12
Birdman,Actor en declive busca relevancia montando una obra en Broadway.,Comedia/Drama,2014,https://picsum.photos/300/200?random=13
Spotlight,Equipo periodístico investiga abusos dentro de la Iglesia Católica en Boston.,Drama/Histórica,2015,https://picsum.photos/300/200?random=14
Argo,Operación de rescate de rehenes iraníes simulada como film de Hollywood.,Thriller/Histórica,2012,https://picsum.photos/300/200?random=15
The Artist,Película muda en blanco y negro sobre el fin del cine mudo y el surgimiento del sonoro.,Comedia/Drama,2011,https://picsum.photos/300/200?random=16
The King's Speech,Rey Jorge VI supera su tartamudez con la ayuda de un terapeuta poco convencional.,Biografía/Histórica,2010,https://picsum.photos/300/200?random=17
The Hurt Locker,Equipo de desactivación de bombas en Irak enfrenta tensión y adicción a la adrenalina.,Thriller/War,2009,https://picsum.photos/300/200?random=18
Slumdog Millionaire,Joven indio participa en concurso televisivo buscando reencontrarse con su amor de infancia.,Drama/Romance,2008,https://picsum.photos/300/200?random=19
No Country for Old Men,Hombre encuentra dinero de narcos y es perseguido por asesino implacable.,Thriller/Crimen,2007,https://picsum.photos/300/200?random=20
The Departed,Policía encubierto y topo en la mafia se enfrentan en Boston.,Thriller/Crimen,2006,https://picsum.photos/300/200?random=21
Crash,Varias historias en Los Ángeles exploran prejuicio y redención en un día.,Drama,2005,https://picsum.photos/300/200?random=22
Million Dollar Baby,Entrenadora ayuda a mujer a convertirse en boxeadora profesional.,Drama/Deportes,2004,https://picsum.photos/300/200?random=23
The Lord of the Rings: The Return of the King,"Conclusión épica de la saga, con batallas decisivas en la Tierra Media.",Fantasía/Aventura,2003,https://picsum.photos/300/200?random=24
Chicago,Musical en línea con una historia de crimen y fama en los años 1920.,Musical/Crimen,2002,https://picsum.photos/300/200?random=25
A Beautiful Mind,Biografía de un genio matemático que lucha con la esquizofrenia.,Biografía/Drama,2001,https://picsum.photos/300/200?random=26
Gladiator,General romano convertido en gladiador busca venganza contra el emperador corrupto.,Acción/Épica,2000,https://picsum.photos/300/200?random=27
American Beauty,Padre en crisis personal desarrolla obsesiones mientras su familia se desmorona.,Drama/Sátira,1999,https://picsum.photos/300/200?random=28
Shakespeare in Love,Joven Shakespeare encuentra inspiración en un romance ficticio mientras escribe Romeo y Julieta.,Drama/Romance,1998,https://picsum.photos/300/200?random=29
The English Patient,Relato fragmentado de amor prohibido durante la Segunda Guerra Mundial.,Drama/Romance,1996,https://picsum.photos/300/200?random=30
